"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,Project,project,2024-03-01,2024-10-05,0,0,0,,,,,
1.1,"Φάση σχεδίασης",group,2024-03-01,2024-03-22,0,0,0,,,,,
1.1.1,"Καθορισμός απαιτήσεων συστήματος",task,2024-03-01,2024-03-14,0,0,0,,,,,blue2
1.1.2,"Σχεδιασμός βάσης δεδομένων",task,2024-03-15,2024-03-19,0,0,0,,,,,blue2
1.1.3,"Δημιουργία mockups",task,2024-03-15,2024-03-21,0,0,0,,,,,blue2
1.1.4,"Έναρξη Προγραμματισμού",milestone,2024-03-22,2024-03-22,0,0,0,,,,,blue2
1.2,"Αρχικές Λειτουργίες",group,2024-03-22,2024-05-05,0,0,0,,,,,
1.2.1,"Γραφική διεπαφή πελάτη",task,2024-03-22,2024-04-20,0,0,0,,,,,green3
1.2.2,"Υλοποίηση βάσης δεδομένων",task,2024-03-22,2024-04-05,0,0,0,,,,,green3
1.2.3,"Εγγραφή, σύνδεση και πιστοποίηση χρηστών",task,2024-04-21,2024-04-25,0,0,0,,,,,green3
1.2.4,"Σύστημα πληρωμών και διαχείριση  πορτοφολιού χρήστη",task,2024-04-21,2024-05-04,0,0,0,,,,,green3
1.2.5,"Λειτουργίες χάρτη",task,2024-04-21,2024-05-04,0,0,0,,,,,green3
1.2.6,"Ολοκλήρωση Αρχικών Λειτουργιών",milestone,2024-05-05,2024-05-05,0,0,0,,,,,blue2
1.3,"Λειτουργικότητα Ενοικίασης",group,2024-05-05,2024-05-30,0,0,0,,,,,
1.3.1,"Υλοποίηση tracker",task,2024-05-05,2024-05-09,0,0,0,,,,,yellow1
1.3.2,"Λειτουργία γκαράζ και επιλογής οχήματος",task,2024-05-05,2024-05-06,0,0,0,,,,,yellow1
1.3.3,"Εισαγωγή & επικύρωση διπλώματος οδήγησης",task,2024-05-05,2024-05-06,0,0,0,,,,,yellow1
1.3.4,"Λειτουργία ενοικίασης εντός πόλης",task,2024-05-10,2024-05-29,0,0,0,,,,,yellow1
1.3.5,"Λειτουργία ενοικίασης εκτός πόλης",task,2024-05-10,2024-05-24,0,0,0,,,,,yellow1
1.3.6,"Ολοκλήρωση Λειτουργικότητας Ενοικίασης",milestone,2024-05-30,2024-05-30,0,0,0,,,,,blue2
1.4,"Λειτουργικότητα Ταξί",group,2024-05-30,2024-07-08,0,0,0,,,,,
1.4.1,"Γραφική διεπαφή οδηγού ταξί",task,2024-05-30,2024-06-18,0,0,0,,,,,orange2
1.4.2,"Δημιουργία, αποδοχή και ολοκλήρωση αιτημάτων ταξί",task,2024-06-19,2024-07-02,0,0,0,,,,,orange2
1.4.3,"Σύστημα επιβράβευσης",task,2024-07-03,2024-07-07,0,0,0,,,,,orange2
1.4.4,"Σύστημα αξιολόγησης",task,2024-07-03,2024-07-05,0,0,0,,,,,orange2
1.4.5,"Μηχανισμός μεταφοράς κερδών στους οδηγούς",task,2024-07-03,2024-07-05,0,0,0,,,,,orange2
1.4.6,"Ολοκλήρωση Λειτουργικότητας Ταξί",milestone,2024-07-08,2024-07-08,0,0,0,,,,,blue2
1.5,"Τελικό Στάδιο",group,2024-07-08,2024-10-05,0,0,0,,,,,
1.5.1,"Έλεγχος συστήματος και διόρθωση σφαλμάτων",task,2024-07-08,2024-08-06,0,0,0,,,,,purple1
1.5.2,"Προετοιμασία εφαρμογής για το app store",task,2024-08-07,2024-08-13,0,0,0,,,,,purple1
1.5.3,"Στρατηγική μάρκετινγκ και διαφήμιση",task,2024-08-07,2024-08-20,0,0,0,,,,,purple1
1.5.4,"Συλλογή feedback από πρώτους χρήστες",task,2024-08-07,2024-09-05,0,0,0,,,,,purple1
1.5.5,"Τελικές διορθώσεις",task,2024-09-06,2024-09-20,0,0,0,,,,,purple1
1.5.6,"Συγγραφή τεκμηρίωσης",task,2024-09-21,2024-10-04,0,0,0,,,,,purple1
1.5.7,"Συγγραφή όρων χρήσης",task,2024-09-21,2024-09-25,0,0,0,,,,,purple1
1.5.8,"Κυκλοφορία Εφαρμογής",milestone,2024-10-05,2024-10-05,0,0,0,,,,,blue2
