"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,Project,project,2024-03-10,2024-06-10,0,0,0,,,,,
1.1,Ανδριανόπουλος,group,2024-03-10,2024-06-10,0,0,0,,,,,
1.1.1,"Επιλογή μεθόδου εργασίας",task,2024-03-10,2024-03-11,0,0,0,,,,,blue2
1.1.2,"Επιλογή Ιδέας",task,2024-03-12,2024-03-16,0,0,0,,,,,blue2
1.1.3,Domain-model-v0.1,task,2024-03-19,2024-03-22,0,0,0,,,,,blue2
1.1.4,Use-cases-v0.1,task,2024-03-23,2024-04-02,0,0,0,,,,,blue2
1.1.5,Robustness-diagrams-v0.1,task,2024-04-08,2024-04-13,0,0,0,,,,,blue2
1.1.6,Sequence-diagrams-v0.1,task,2024-04-14,2024-04-20,0,0,0,,,,,blue2
1.1.7,Domain-model-v0.2,task,2024-04-21,2024-04-25,0,0,0,,,,,blue2
1.1.8,Class-diagram-v0.1,task,2024-04-29,2024-05-03,0,0,0,,,,,blue2
1.1.9,Robustness-diagrams-v1.0,task,2024-06-01,2024-06-04,0,0,0,,,,,blue2
1.1.10,Class-diagram-v1.0,task,2024-06-05,2024-06-07,0,0,0,,,,,blue2
1.1.11,Use-cases-v1.0,task,2024-06-08,2024-06-10,0,0,0,,,,,blue2
1.2,Καλοζούμης,group,2024-03-10,2024-06-10,0,0,0,,,,,
1.2.1,"Επιλογή μεθόδου εργασίας",task,2024-03-10,2024-03-11,0,0,0,,,,,blue2
1.2.2,"Επιλογή Ιδέας",task,2024-03-12,2024-03-16,0,0,0,,,,,blue2
1.2.3,"Αρχική περιγραφή έργου",task,2024-03-17,2024-03-18,0,0,0,,,,,blue2
1.2.4,Team-plan-v0.1,task,2024-03-19,2024-03-21,0,0,0,,,,,blue2
1.2.5,Use-cases-v0.1,task,2024-03-23,2024-04-02,0,0,0,,,,,blue2
1.2.6,Project-plan-v.01,task,2024-04-03,2024-04-06,0,0,0,,,,,blue2
1.2.7,Robustness-diagrams-v0.1,task,2024-04-08,2024-04-13,0,0,0,,,,,blue2
1.2.8,Sequence-diagrams-v0.1,task,2024-04-14,2024-04-20,0,0,0,,,,,blue2
1.2.9,Use-cases-v0.2,task,2024-04-21,2024-04-24,0,0,0,,,,,blue2
1.2.10,Team-plan-v0.2,task,2024-04-29,2024-05-01,0,0,0,,,,,blue2
1.2.11,Team-plan-v1.0,task,2024-06-01,2024-06-04,0,0,0,,,,,blue2
1.2.12,Sequence-diagrams-v1.0,task,2024-06-05,2024-06-07,0,0,0,,,,,blue2
1.2.13,Use-cases-v1.0,task,2024-06-08,2024-06-10,0,0,0,,,,,blue2
1.3,Κουρτάκης,group,2024-03-10,2024-06-10,0,0,0,,,,,
1.3.1,"Επιλογή μεθόδου εργασίας",task,2024-03-10,2024-03-11,0,0,0,,,,,blue2
1.3.2,"Επιλογή Ιδέας",task,2024-03-12,2024-03-16,0,0,0,,,,,blue2
1.3.3,Project-description-v0.1,task,2024-03-19,2024-03-21,0,0,0,,,,,blue2
1.3.4,Use-cases-v0.1,task,2024-03-23,2024-04-02,0,0,0,,,,,blue2
1.3.5,Robustness-diagrams-v0.1,task,2024-04-08,2024-04-13,0,0,0,,,,,blue2
1.3.6,Sequence-diagrams-v0.1,task,2024-04-14,2024-04-20,0,0,0,,,,,blue2
1.3.7,Project-description-v0.2,task,2024-04-25,2024-04-27,0,0,0,,,,,blue2
1.3.8,Team-plan-v0.2,task,2024-04-29,2024-05-01,0,0,0,,,,,blue2
1.3.9,Project-description-v1.0,task,2024-06-01,2024-06-03,0,0,0,,,,,blue2
1.3.10,Project-plan-v1.0,task,2024-06-05,2024-06-07,0,0,0,,,,,blue2
1.3.11,Use-cases-v1.0,task,2024-06-08,2024-06-10,0,0,0,,,,,blue2
1.4,Στασινός,group,2024-03-10,2024-06-10,0,0,0,,,,,
1.4.1,"Επιλογή μεθόδου εργασίας",task,2024-03-10,2024-03-11,0,0,0,,,,,blue2
1.4.2,"Επιλογή Ιδέας",task,2024-03-12,2024-03-16,0,0,0,,,,,blue2
1.4.3,"Αρχική περιγραφή έργου",task,2024-03-17,2024-03-18,0,0,0,,,,,blue2
1.4.4,Risk-assessment-v0.1,task,2024-03-19,2024-03-22,0,0,0,,,,,blue2
1.4.5,Use-cases-v0.1,task,2024-03-23,2024-04-02,0,0,0,,,,,blue2
1.4.6,Project-plan-v.01,task,2024-04-03,2024-04-06,0,0,0,,,,,blue2
1.4.7,Robustness-diagrams-v0.1,task,2024-04-08,2024-04-13,0,0,0,,,,,blue2
1.4.8,Sequence-diagrams-v0.1,task,2024-04-14,2024-04-20,0,0,0,,,,,blue2
1.4.9,Team-plan-v0.2,task,2024-04-29,2024-05-01,0,0,0,,,,,blue2
1.4.10,Risk-assessment-v1.0,task,2024-06-01,2024-06-02,0,0,0,,,,,blue2
1.4.11,Project-plan-v1.0,task,2024-06-05,2024-06-07,0,0,0,,,,,blue2
1.4.12,Use-cases-v1.0,task,2024-06-08,2024-06-10,0,0,0,,,,,blue2
