"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,Project,project,2024-03-01,2024-10-04,0,0,0,,,,,
1.1,Ανδριανόπουλος,group,2024-03-01,2024-10-04,0,0,0,,,,,
1.1.1,"Καθορισμός απαιτήσεων συστήματος",task,2024-03-01,2024-03-14,0,0,0,,,,,blue2
1.1.2,"Σχεδιασμός βάσης δεδομένων",task,2024-03-15,2024-03-19,0,0,0,,,,,blue2
1.1.3,"Υλοποίηση Βάσης Δεδομένων",task,2024-03-22,2024-04-05,0,0,0,,,,,blue2
1.1.4,"Λειτουργίες Χάρτη",task,2024-04-21,2024-05-04,0,0,0,,,,,blue2
1.1.5,"Υλοποίηση tracker",task,2024-05-05,2024-05-09,0,0,0,,,,,blue2
1.1.6,"Λειτουργία ενοικίασης εντός πόλη",task,2024-05-10,2024-05-29,0,0,0,,,,,blue2
1.1.7,"Δημιουργία, αποδοχή και ολοκλήρωση αιτημάτων ταξί",task,2024-06-19,2024-07-02,0,0,0,,,,,blue2
1.1.8,"Μηχανισμός μεταφοράς κερδών στους οδηγούς",task,2024-07-03,2024-07-05,0,0,0,,,,,blue2
1.1.9,"Έλεγχος συστήματος και διόρθωση σφαλμάτων",task,2024-07-08,2024-08-06,0,0,0,,,,,blue2
1.1.10,"Συλλογή feedback από πρώτους χρήστες",task,2024-08-07,2024-09-05,0,0,0,,,,,blue2
1.1.11,"Τελικές διορθώσεις",task,2024-09-06,2024-09-20,0,0,0,,,,,blue2
1.1.12,"Συγγραφή τεκμηρίωσης",task,2024-09-21,2024-10-04,0,0,0,,,,,blue2
1.2,Καλοζούμης,group,2024-03-01,2024-10-04,0,0,0,,,,,
1.2.1,"Καθορισμός απαιτήσεων συστήματος",task,2024-03-01,2024-03-14,0,0,0,,,,,blue2
1.2.2,"Σχεδιασμός βάσης δεδομένων",task,2024-03-15,2024-03-19,0,0,0,,,,,blue2
1.2.3,"Υλοποίηση Βάσης Δεδομένων",task,2024-03-22,2024-04-05,0,0,0,,,,,blue2
1.2.4,"Λειτουργίες Χάρτη",task,2024-04-21,2024-05-04,0,0,0,,,,,blue2
1.2.5,"Λειτουργία ενοικίασης εντός πόλης",task,2024-05-10,2024-05-29,0,0,0,,,,,blue2
1.2.6,"Γραφική διεπαφή οδηγού ταξί",task,2024-05-30,2024-06-18,0,0,0,,,,,blue2
1.2.7,"Σύστημα επιβράβευσης",task,2024-07-03,2024-07-07,0,0,0,,,,,blue2
1.2.8,"Έλεγχος συστήματος και διόρθωση σφαλμάτων",task,2024-07-08,2024-08-06,0,0,0,,,,,blue2
1.2.9,"Συλλογή feedback από πρώτους χρήστες",task,2024-08-07,2024-09-05,0,0,0,,,,,blue2
1.2.10,"Τελικές διορθώσεις",task,2024-09-06,2024-09-20,0,0,0,,,,,blue2
1.2.11,"Συγγραφή τεκμηρίωσης",task,2024-09-21,2024-10-04,0,0,0,,,,,blue2
1.3,Κουρτάκης,group,2024-03-01,2024-10-04,0,0,0,,,,,
1.3.1,"Καθορισμός απαιτήσεων συστήματος",task,2024-03-01,2024-03-14,0,0,0,,,,,blue2
1.3.2,"Δημιουργία mockups",task,2024-03-15,2024-03-21,0,0,0,,,,,blue2
1.3.3,"Γραφική διεπαφή πελάτη",task,2024-03-22,2024-04-20,0,0,0,,,,,blue2
1.3.4,"Εγγραφή, Σύνδεση και Πιστοποίηση Χρηστών",task,2024-04-21,2024-04-25,0,0,0,,,,,blue2
1.3.5,"Σύστημα πληρωμών και διαχείριση πορτοφολιού πελάτη",task,2024-04-26,2024-05-04,0,0,0,,,,,blue2
1.3.6,"Εισαγωγή & επικύρωση διπλώματος οδήγησης",task,2024-05-05,2024-05-06,0,0,0,,,,,blue2
1.3.7,"Λειτουργία ενοικίασης εκτός πόλης",task,2024-05-10,2024-05-24,0,0,0,,,,,blue2
1.3.8,"Λειτουργία ενοικίασης εντός πόλης",task,2024-05-25,2024-05-29,0,0,0,,,,,blue2
1.3.9,"Γραφική διεπαφή οδηγού ταξί",task,2024-05-30,2024-06-18,0,0,0,,,,,blue2
1.3.10,"Σύστημα επιβράβευσης",task,2024-07-03,2024-07-07,0,0,0,,,,,blue2
1.3.11,"Έλεγχος συστήματος και διόρθωση σφαλμάτων",task,2024-07-08,2024-08-06,0,0,0,,,,,blue2
1.3.12,"Προετοιμασία εφαρμογής για το app store",task,2024-08-07,2024-08-13,0,0,0,,,,,blue2
1.3.13,"Τελικές διορθώσεις",task,2024-09-06,2024-09-20,0,0,0,,,,,blue2
1.3.14,"Συγγραφή όρων χρήσης",task,2024-09-21,2024-09-25,0,0,0,,,,,blue2
1.3.15,"Συγγραφή τεκμηρίωσης",task,2024-09-26,2024-10-04,0,0,0,,,,,blue2
1.4,Στασινός,group,2024-03-01,2024-09-25,0,0,0,,,,,
1.4.1,"Καθορισμός απαιτήσεων συστήματος",task,2024-03-01,2024-03-14,0,0,0,,,,,blue2
